#{"t_start": 1591784486.0730097, "env_id": "Mujoco-planar-snake-cars-angle-line-v1"}
r,l,t
89.634108,1000,2.884696
117.529037,1000,5.792511
93.462301,1000,9.240813
30.418407,1000,11.638137
115.186979,1000,14.768974
111.090279,1000,17.085324
125.950474,1000,20.191298
126.759855,1000,22.397804
56.971303,1000,25.571876
99.698972,1000,27.966416
116.020672,1000,31.42859
114.340088,1000,33.700204
70.493323,1000,37.038387
99.547864,1000,39.367582
132.021384,1000,42.53248
97.556445,1000,44.753758
142.906707,1000,48.103145
122.120348,1000,50.41219
127.733707,1000,53.811393
130.184213,1000,56.093931
128.062962,1000,59.904746
137.080035,1000,62.221856
119.538267,1000,66.245136
104.534031,1000,68.788744
126.790388,1000,72.306592
